ENTITY,FREQ(#)
IFCRELDEFINESBYPROPERTIES,4715060
IFCPROPERTYSINGLEVALUE,1402444
IFCPROPERTYSET,1055618
IFCLOCALPLACEMENT,945329
IFCCARTESIANPOINT,764501
IFCDISTRIBUTIONPORT,687074
IFCSHAPEREPRESENTATION,321334
IFCRELCONNECTSPORTS,316909
IFCINDEXEDPOLYGONALFACE,316841
IFCPRODUCTDEFINITIONSHAPE,266470
IFCRELNESTS,232430
IFCEXTRUDEDAREASOLID,223686
IFCINDEXEDPOLYCURVE,185621
IFCINDEXEDCOLOURMAP,184468
IFCDIRECTION,179588
IFCTRIANGULATEDFACESET,175683
IFCARBITRARYCLOSEDPROFILEDEF,104026
IFCPIPESEGMENT,97401
IFCPIPEFITTING,93765
IFCSTYLEDITEM,86368
IFCCONNECTIONSURFACEGEOMETRY,64498
IFCRELSPACEBOUNDARY,63915
IFCSURFACEOFLINEAREXTRUSION,60822
IFCRELDEFINESBYTYPE,60100
IFCARBITRARYOPENPROFILEDEF,59990
IFCCOVERING,51271
IFCQUANTITYAREA,50529
IFCRELAGGREGATES,43999
IFCMAPPEDITEM,40422
IFCDUCTSEGMENT,40106
IFCREPRESENTATIONMAP,40013
IFCQUANTITYVOLUME,32357
IFCDUCTFITTING,31627
IFCRELASSOCIATESMATERIAL,29117
IFCQUANTITYLENGTH,24300
IFCFIRESUPPRESSIONTERMINAL,24285
IFCELEMENTQUANTITY,23923
IFCSYSTEM,22890
IFCRELSERVICESBUILDINGS,22890
IFCRELASSIGNSTOGROUP,22890
IFCBUILDINGELEMENTPROXY,22581
IFCPIPEFITTINGTYPE,16566
IFCAIRTERMINAL,13016
IFCWALL,12465
IFCDUCTFITTINGTYPE,12353
IFCGRIDAXIS,11312
IFCGEOMETRICCURVESET,11230
IFCCABLECARRIERSEGMENT,10401
IFCPOLYGONALFACESET,8785
IFCCABLECARRIERFITTING,8510
IFCSPACE,6589
IFCBUILDINGELEMENTPROXYTYPE,6496
IFCOPENINGELEMENT,6423
IFCRELVOIDSELEMENT,6423
IFCDOOR,5421
IFCRELFILLSELEMENT,5301
IFCPOLYLINE,3763
IFCCURVEBOUNDEDPLANE,3676
IFCPLANE,3649
IFCCABLECARRIERFITTINGTYPE,3021
IFCSURFACESTYLE,2827
IFCSIUNIT,2641
IFCMATERIAL,2585
IFCGRID,2233
IFCVALVE,2013
IFCPRESENTATIONSTYLEASSIGNMENT,1909
IFCDOORLININGPROPERTIES,1798
IFCDOORPANELPROPERTIES,1798
IFCDOORTYPE,1798
IFCDERIVEDUNITELEMENT,1668
IFCGEOMETRICSET,1599
IFCPRESENTATIONLAYERASSIGNMENT,1411
IFCSURFACESTYLERENDERING,1371
IFCFLOWTERMINAL,1326
IFCCOLOURRGB,1313
IFCSLAB,1240
IFCLIGHTFIXTURE,1217
IFCINDEXEDPOLYGONALFACEWITHVOIDS,1128
IFCPIPESEGMENTTYPE,993
IFCDUCTSEGMENTTYPE,984
IFCSTAIRFLIGHT,851
IFCDERIVEDUNIT,834
IFCVALVETYPE,802
IFCCOLOURRGBLIST,737
IFCRAILING,726
IFCSTAIR,718
IFCAIRTERMINALTYPE,699
IFCGEOMETRICREPRESENTATIONSUBCONTEXT,695
IFCMATERIALLAYER,620
IFCMATERIALLAYERSET,619
IFCCABLECARRIERSEGMENTTYPE,608
IFCARBITRARYPROFILEDEFWITHVOIDS,553
IFCMEMBER,546
IFCRELCONTAINEDINSPATIALSTRUCTURE,469
IFCMATERIALCONSTITUENT,453
IFCWALLTYPE,365
IFCBUILDINGSTOREY,315
IFCSLABTYPE,295
IFCORGANIZATION,278
IFCGEOMETRICREPRESENTATIONCONTEXT,278
IFCPLATE,226
IFCMATERIALCONSTITUENTSET,201
IFCPLATETYPE,190
IFCLIGHTFIXTURETYPE,178
IFCMEMBERTYPE,164
IFCCURTAINWALL,148
IFCPERSON,139
IFCPERSONANDORGANIZATION,139
IFCAPPLICATION,139
IFCOWNERHISTORY,139
IFCDIMENSIONALEXPONENTS,139
IFCUNITASSIGNMENT,139
IFCPROJECT,139
IFCPOSTALADDRESS,139
IFCBUILDING,139
IFCCLASSIFICATION,139
IFCSITE,139
IFCMEASUREWITHUNIT,137
IFCCONVERSIONBASEDUNIT,137
IFCFURNITURE,107
IFCSTAIRTYPE,94
IFCFIRESUPPRESSIONTERMINALTYPE,93
IFCMATERIALPROFILE,68
IFCRELASSOCIATESCLASSIFICATION,61
IFCCOLUMN,61
IFCCOLUMNTYPE,61
IFCSYSTEMFURNITUREELEMENT,59
IFCBEAM,59
IFCSTAIRFLIGHTTYPE,54
IFCBEAMTYPE,25
IFCFURNITURETYPE,17
IFCMATERIALPROFILESET,16
IFCCURTAINWALLTYPE,13
IFCCOVERINGTYPE,12
IFCRAMP,5
IFCROOF,5
IFCANNOTATIONFILLAREA,4
IFCANNOTATION,4
IFCSYSTEMFURNITUREELEMENTTYPE,4
IFCCIRCLE,4
IFCTRIMMEDCURVE,4
IFCCOMPOSITECURVESEGMENT,4
IFCRAMPFLIGHT,3
IFCWINDOWLININGPROPERTIES,3
IFCWINDOWTYPE,3
IFCWINDOW,3
IFCCLASSIFICATIONREFERENCE,2
IFCDRAUGHTINGPREDEFINEDCURVEFONT,2
IFCCURVESTYLE,2
IFCFILLAREASTYLE,2
