label,degree
#33=IfcOwnerHistory,3895
#9=IfcDirection,860
#3=IfcCartesianPoint,640
#4=IfcCartesianPoint,456
#27=IfcGeometricRepresentationContext,394
#25812=IfcConnectedFaceSet,265
#26777=IfcConnectedFaceSet,265
#27969=IfcConnectedFaceSet,265
#28934=IfcConnectedFaceSet,265
#30112=IfcConnectedFaceSet,265
#31077=IfcConnectedFaceSet,265
#6=IfcDirection,238
#11=IfcDirection,205
#7=IfcDirection,166
#19031=IfcConnectedFaceSet,164
#20413=IfcConnectedFaceSet,160
#39111=IfcPresentationLayerAssignment,150
#10=IfcDirection,126
#12180=IfcConnectedFaceSet,123
#35159=IfcConnectedFaceSet,123
#5=IfcDirection,118
#29=IfcGeometricRepresentationSubContext,110
#8=IfcDirection,105
#39105=IfcPresentationLayerAssignment,91
#3821=IfcPropertySingleValue,90
#4133=IfcPropertySingleValue,81
#12=IfcDirection,78
#3825=IfcPropertySingleValue,78
#13=IfcDirection,76
#38309=IfcRelContainedInSpatialStructure,75
#176=IfcPropertySingleValue,72
#38=IfcLocalPlacement,65
#12181=IfcFaceBasedSurfaceModel,65
#35160=IfcFaceBasedSurfaceModel,65
#8460=IfcSurfaceStyle,64
#39109=IfcPresentationLayerAssignment,62
#42=IfcLocalPlacement,60
#3792=IfcSurfaceStyle,58
#3813=IfcPropertySingleValue,57
#3814=IfcPropertySingleValue,57
#3820=IfcPropertySingleValue,57
#3800=IfcPropertySingleValue,56
#3819=IfcPropertySingleValue,56
#12588=IfcPropertySingleValue,55
#38298=IfcRelContainedInSpatialStructure,54
#3799=IfcPropertySingleValue,50
#3815=IfcPropertySingleValue,50
#3801=IfcPropertySingleValue,49
#9322=IfcConnectedFaceSet,47
#19226=IfcConnectedFaceSet,47
#20608=IfcConnectedFaceSet,47
#32342=IfcConnectedFaceSet,47
#39112=IfcPresentationLayerAssignment,46
#18190=IfcConnectedFaceSet,45
#19600=IfcConnectedFaceSet,45
#3818=IfcPropertySingleValue,41
#22991=IfcConnectedFaceSet,41
#39104=IfcPresentationLayerAssignment,40
#14=IfcDirection,38
#4645=IfcPropertySingleValue,35
#12587=IfcPropertySingleValue,35
#6502=IfcPropertySet,34
#6996=IfcPropertySet,34
#7265=IfcPropertySet,34
#7482=IfcPropertySet,34
#7714=IfcPropertySet,34
#8967=IfcShapeRepresentation,34
#23233=IfcPropertySet,34
#32060=IfcShapeRepresentation,34
#6728=IfcPropertySet,33
#8140=IfcPropertySet,33
#8357=IfcPropertySet,33
#21900=IfcPropertySet,33
#819=IfcSpace,31
#1218=IfcSpace,31
#2789=IfcSpace,31
#18317=IfcConnectedFaceSet,31
#3875=IfcPropertySet,30
#4198=IfcPropertySet,30
#4352=IfcPropertySet,30
#4716=IfcPropertySet,30
#5038=IfcPropertySet,30
#5234=IfcPropertySet,30
#5838=IfcPropertySet,30
#6199=IfcPropertySet,30
#9130=IfcPropertySet,30
#9387=IfcPropertySet,30
#12241=IfcPropertySet,30
#20860=IfcPropertySet,30
#21263=IfcPropertySet,30
#22615=IfcPropertySet,30
#23356=IfcPropertySet,30
#23735=IfcPropertySet,30
#24660=IfcPropertySet,30
#37846=IfcPropertySet,30
#514=IfcSpace,29
#2108=IfcSpace,29
#2412=IfcSpace,29
#5687=IfcWallStandardCase,29
#5948=IfcWallStandardCase,29
#6132=IfcSlab,29
#6247=IfcSlab,29
#12647=IfcPropertySet,29
#15522=IfcPropertySet,29
#16371=IfcPropertySet,29
#16474=IfcPropertySet,29
#17395=IfcPropertySet,29
#17588=IfcPropertySet,29
#17772=IfcPropertySet,29
#19330=IfcPropertySet,29
#20712=IfcPropertySet,29
#26999=IfcPropertySet,29
#31299=IfcPropertySet,29
#35843=IfcPropertySet,29
#36483=IfcPropertySet,29
#5598=IfcWallStandardCase,28
#36807=IfcPropertySet,28
#36981=IfcPropertySet,28
#1442=IfcSpace,27
#3013=IfcSpace,27
#5399=IfcWall,27
#5498=IfcWallStandardCase,27
#19711=IfcConnectedFaceSet,27
#4087=IfcWallStandardCase,26
#3999=IfcWallStandardCase,25
#5448=IfcWallStandardCase,25
#12033=IfcPolyLoop,25
#15315=IfcConnectedFaceSet,25
#15420=IfcConnectedFaceSet,25
