label,degree
#61=IfcOwnerHistory,1754
#22415=IfcConnectedFaceSet,1450
#22417=IfcConnectedFaceSet,1449
#28973=IfcConnectedFaceSet,655
#43143=IfcClosedShell,562
#46826=IfcClosedShell,562
#32945=IfcConnectedFaceSet,401
#28971=IfcConnectedFaceSet,329
#48340=IfcClosedShell,202
#32943=IfcConnectedFaceSet,188
#3669=IfcClosedShell,144
#50306=IfcClosedShell,138
#53=IfcGeometricRepresentationSubContext,122
#3697=IfcCartesianTransformationOperator3D,118
#3726=IfcPropertySingleValue,103
#29020=IfcPropertySingleValue,76
#33581=IfcPropertySingleValue,73
#39020=IfcClosedShell,72
#39035=IfcClosedShell,71
#39025=IfcClosedShell,70
#51245=IfcPresentationLayerAssignment,69
#3678=IfcClosedShell,67
#3=IfcCartesianPoint,62
#68=IfcLocalPlacement,59
#9=IfcDirection,58
#50926=IfcRelContainedInSpatialStructure,58
#3654=IfcClosedShell,52
#3681=IfcClosedShell,52
#3684=IfcClosedShell,52
#11=IfcDirection,51
#15=IfcDirection,50
#33905=IfcRepresentationMap,50
#3651=IfcClosedShell,49
#51067=IfcRelDefinesByType,49
#51153=IfcRelDefinesByProperties,49
#51155=IfcRelDefinesByProperties,49
#51157=IfcRelDefinesByProperties,49
#51159=IfcRelDefinesByProperties,49
#73=IfcLocalPlacement,48
#50948=IfcRelContainedInSpatialStructure,47
#13=IfcDirection,44
#22542=IfcPropertySet,44
#29122=IfcPropertySet,44
#33083=IfcPropertySet,44
#7=IfcDirection,42
#36285=IfcPropertySet,42
#36379=IfcPropertySet,42
#43315=IfcPropertySet,42
#22929=IfcPropertySet,41
#19=IfcDirection,40
#3818=IfcPropertySet,40
#39210=IfcPropertySet,40
#36313=IfcPropertySet,38
#50721=IfcPropertySet,38
#50877=IfcPropertySet,38
#33651=IfcPropertySet,36
#34005=IfcPropertySet,36
#39030=IfcClosedShell,36
#48777=IfcPropertySet,36
#50439=IfcPropertySet,36
#32755=IfcPolyLoop,32
#32788=IfcPolyLoop,32
#30459=IfcPolyLoop,31
#30516=IfcPolyLoop,31
#25049=IfcPolyLoop,29
#25102=IfcPolyLoop,29
#30667=IfcCartesianPoint,28
#48439=IfcPropertySet,27
#48911=IfcPropertySet,27
#3878=IfcPolyLoop,25
#4099=IfcPolyLoop,25
#4102=IfcPolyLoop,25
#5581=IfcPolyLoop,25
#5632=IfcPolyLoop,25
#6687=IfcPolyLoop,25
#6740=IfcPolyLoop,25
#6791=IfcPolyLoop,25
#6964=IfcPolyLoop,25
#7015=IfcPolyLoop,25
#7068=IfcPolyLoop,25
#12104=IfcPolyLoop,25
#13171=IfcPolyLoop,25
#13222=IfcPolyLoop,25
#13275=IfcPolyLoop,25
#19300=IfcPolyLoop,25
#19353=IfcPolyLoop,25
#19356=IfcPolyLoop,25
#20301=IfcPolyLoop,25
#20304=IfcPolyLoop,25
#21257=IfcPolyLoop,25
#21308=IfcPolyLoop,25
#21747=IfcPolyLoop,25
#22290=IfcPolyLoop,25
#12014=IfcPolyLoop,24
#12041=IfcPolyLoop,24
#12046=IfcPolyLoop,24
#12051=IfcPolyLoop,24
#18669=IfcPolyLoop,24
#18696=IfcPolyLoop,24
#18727=IfcPolyLoop,24
#18754=IfcPolyLoop,24
#31794=IfcCartesianPoint,24
#29003=IfcFlowTerminal,22
#29154=IfcFlowTerminal,22
#32973=IfcFlowTerminal,22
#33110=IfcFlowTerminal,22
#33173=IfcFlowTerminal,22
#33236=IfcFlowTerminal,22
#33299=IfcFlowTerminal,22
#33362=IfcFlowTerminal,22
#33425=IfcFlowTerminal,22
#33486=IfcFlowTerminal,22
#36649=IfcFlowTerminal,22
#36710=IfcFlowTerminal,22
#39391=IfcFlowTerminal,22
#39499=IfcFlowTerminal,22
#57=IfcGeometricRepresentationSubContext,21
#51013=IfcPropertySet,21
#3657=IfcClosedShell,20
#3660=IfcClosedShell,20
#3663=IfcClosedShell,19
#3666=IfcClosedShell,19
#36166=IfcFlowController,19
#36332=IfcFlowController,19
#38983=IfcClosedShell,19
#43208=IfcFlowMovingDevice,19
#46891=IfcFlowMovingDevice,19
#3824=IfcPropertySet,18
#43224=IfcPropertySingleValue,18
#22548=IfcPropertySet,17
#33557=IfcRepresentationMap,17
#39015=IfcClosedShell,17
#39040=IfcClosedShell,17
#50301=IfcClosedShell,17
#134=IfcSpace,16
#3693=IfcClassification,16
#3707=IfcEnergyConversionDevice,16
#22439=IfcFlowMovingDevice,16
#22561=IfcEnergyConversionDevice,16
#29322=IfcCartesianPoint,16
#29326=IfcCartesianPoint,16
#29328=IfcCartesianPoint,16
#29330=IfcCartesianPoint,16
#33572=IfcFlowTerminal,16
#33670=IfcFlowTerminal,16
#33715=IfcFlowTerminal,16
#33760=IfcFlowTerminal,16
#33805=IfcFlowTerminal,16
#33850=IfcFlowTerminal,16
#33920=IfcFlowTerminal,16
#34022=IfcFlowTerminal,16
#34074=IfcFlowTerminal,16
#34126=IfcFlowTerminal,16
#34178=IfcFlowTerminal,16
#34230=IfcFlowTerminal,16
#34282=IfcFlowTerminal,16
#34334=IfcFlowTerminal,16
#34386=IfcFlowTerminal,16
#34438=IfcFlowTerminal,16
#34490=IfcFlowTerminal,16
#34542=IfcFlowTerminal,16
#34594=IfcFlowTerminal,16
#34646=IfcFlowTerminal,16
#34698=IfcFlowTerminal,16
#34750=IfcFlowTerminal,16
#34802=IfcFlowTerminal,16
#34854=IfcFlowTerminal,16
#34906=IfcFlowTerminal,16
#34958=IfcFlowTerminal,16
#35010=IfcFlowTerminal,16
#35062=IfcFlowTerminal,16
#35114=IfcFlowTerminal,16
#35166=IfcFlowTerminal,16
#35218=IfcFlowTerminal,16
#35270=IfcFlowTerminal,16
#35322=IfcFlowTerminal,16
#35374=IfcFlowTerminal,16
#35426=IfcFlowTerminal,16
#35478=IfcFlowTerminal,16
#35530=IfcFlowTerminal,16
#35582=IfcFlowTerminal,16
#35634=IfcFlowTerminal,16
#35686=IfcFlowTerminal,16
#35738=IfcFlowTerminal,16
#35790=IfcFlowTerminal,16
#35842=IfcFlowTerminal,16
#35894=IfcFlowTerminal,16
#35946=IfcFlowTerminal,16
#35998=IfcFlowTerminal,16
#36050=IfcFlowTerminal,16
#36102=IfcFlowTerminal,16
#36424=IfcFlowTerminal,16
#36469=IfcFlowTerminal,16
#36514=IfcFlowTerminal,16
#36559=IfcFlowTerminal,16
#36604=IfcFlowTerminal,16
#39287=IfcFlowTerminal,16
#39339=IfcFlowTerminal,16
#39454=IfcFlowTerminal,16
#39562=IfcFlowTerminal,16
#39607=IfcFlowMovingDevice,16
#46948=IfcFlowTerminal,16
#47000=IfcFlowTerminal,16
#50510=IfcFlowTerminal,16
#50563=IfcFlowTerminal,16
#50635=IfcDistributionControlElement,16
#50789=IfcFlowTerminal,16
#51065=IfcRelDefinesByType,16
#51143=IfcRelDefinesByProperties,16
#51145=IfcRelDefinesByProperties,16
#51147=IfcRelDefinesByProperties,16
#51149=IfcRelDefinesByProperties,16
#51151=IfcRelDefinesByProperties,16
#51247=IfcPresentationLayerAssignment,16
#17=IfcDirection,15
#225=IfcPropertySet,15
#3687=IfcShapeRepresentation,15
#22827=IfcGeometricSet,15
#23027=IfcPolyLoop,15
#23056=IfcPolyLoop,15
#29088=IfcPropertySet,15
#29182=IfcPropertySet,15
#33055=IfcPropertySet,15
#33130=IfcPropertySet,15
#33197=IfcPropertySet,15
#33256=IfcPropertySet,15
#33323=IfcPropertySet,15
#33382=IfcPropertySet,15
#33449=IfcPropertySet,15
#33514=IfcPropertySet,15
#36669=IfcPropertySet,15
#36746=IfcPropertySet,15
#39411=IfcPropertySet,15
#39523=IfcPropertySet,15
#50316=IfcClosedShell,15
#50364=IfcFlowTerminal,15
#50468=IfcFlowTerminal,15
#51251=IfcPresentationLayerAssignment,15
#3745=IfcPropertySingleValue,14
#3760=IfcPropertySingleValue,14
#29024=IfcPropertySingleValue,14
#39050=IfcShapeRepresentation,14
#48371=IfcFlowController,14
#48459=IfcFlowController,14
#48504=IfcFlowController,14
#48549=IfcFlowController,14
#48594=IfcFlowController,14
#48639=IfcFlowController,14
#48700=IfcDistributionControlElement,14
#48792=IfcDistributionControlElement,14
#51249=IfcPresentationLayerAssignment,14
#51253=IfcPresentationLayerAssignment,14
#51=IfcGeometricRepresentationContext,13
#12233=IfcPolyLoop,13
#12678=IfcPolyLoop,13
#13422=IfcPolyLoop,13
#18763=IfcPolyLoop,13
#22714=IfcPresentationStyleAssignment,13
#22851=IfcFlowTerminal,13
#22933=IfcMaterial,13
#22965=IfcFlowTerminal,13
#22999=IfcCartesianPoint,13
#23001=IfcCartesianPoint,13
#24993=IfcCartesianPoint,13
#24995=IfcCartesianPoint,13
#25021=IfcCartesianPoint,13
#25023=IfcCartesianPoint,13
#39138=IfcFlowTerminal,13
#39246=IfcFlowTerminal,13
#39988=IfcCartesianPoint,13
#40336=IfcCartesianPoint,13
#43671=IfcCartesianPoint,13
#44019=IfcCartesianPoint,13
#221=IfcPropertySet,12
#22740=IfcShapeRepresentation,12
#47045=IfcCartesianPoint,12
#48853=IfcBuildingElementProxy,12
#48929=IfcBuildingElementProxy,12
#48969=IfcBuildingElementProxy,12
#49009=IfcBuildingElementProxy,12
#3806=IfcPropertySet,11
#22579=IfcPropertySet,11
#32958=IfcRepresentationMap,11
#43317=IfcPropertySet,11
#50534=IfcPropertySet,11
#50579=IfcPropertySet,11
#69=IfcBuildingStorey,10
#74=IfcBuildingStorey,10
#79=IfcBuildingStorey,10
#1682=IfcCartesianPoint,10
#7273=IfcCartesianPoint,10
#10859=IfcCartesianPoint,10
#14039=IfcCartesianPoint,10
#17518=IfcCartesianPoint,10
#22621=IfcPolyline,10
#29136=IfcMaterial,10
#33977=IfcPropertySet,10
#34049=IfcPropertySet,10
#34089=IfcPropertySet,10
#34141=IfcPropertySet,10
#34193=IfcPropertySet,10
#34249=IfcPropertySet,10
#34297=IfcPropertySet,10
#34349=IfcPropertySet,10
#34401=IfcPropertySet,10
#34457=IfcPropertySet,10
#34505=IfcPropertySet,10
#34561=IfcPropertySet,10
#34609=IfcPropertySet,10
#34669=IfcPropertySet,10
#34717=IfcPropertySet,10
#34769=IfcPropertySet,10
#34817=IfcPropertySet,10
#34869=IfcPropertySet,10
#34921=IfcPropertySet,10
#34981=IfcPropertySet,10
#35025=IfcPropertySet,10
#35077=IfcPropertySet,10
#35141=IfcPropertySet,10
#35185=IfcPropertySet,10
#35233=IfcPropertySet,10
#35285=IfcPropertySet,10
#35341=IfcPropertySet,10
#35393=IfcPropertySet,10
#35445=IfcPropertySet,10
#35497=IfcPropertySet,10
#35545=IfcPropertySet,10
#35609=IfcPropertySet,10
#35653=IfcPropertySet,10
#35701=IfcPropertySet,10
#35753=IfcPropertySet,10
#35813=IfcPropertySet,10
#35857=IfcPropertySet,10
#35909=IfcPropertySet,10
#35961=IfcPropertySet,10
#36025=IfcPropertySet,10
#36065=IfcPropertySet,10
#36277=IfcPropertySet,10
#36387=IfcPropertySet,10
#39114=IfcGeometricSet,10
#39302=IfcPropertySet,10
#39370=IfcPropertySet,10
#46963=IfcPropertySet,10
#47019=IfcPropertySet,10
#48419=IfcPropertySet,10
#48480=IfcPropertySet,10
#48517=IfcPropertySet,10
#48562=IfcPropertySet,10
#48607=IfcPropertySet,10
#48656=IfcPropertySet,10
#48755=IfcPropertySet,10
#48808=IfcPropertySet,10
#50326=IfcShapeRepresentation,10
#50693=IfcPropertySet,10
#50849=IfcPropertySet,10
#51021=IfcPropertySet,10
#51063=IfcRelDefinesByType,10
#51127=IfcRelDefinesByProperties,10
#51129=IfcRelDefinesByProperties,10
#51131=IfcRelDefinesByProperties,10
#51133=IfcRelDefinesByProperties,10
#51135=IfcRelDefinesByProperties,10
#51137=IfcRelDefinesByProperties,10
#51139=IfcRelDefinesByProperties,10
#51141=IfcRelDefinesByProperties,10
#5=IfcCartesianPoint,9
#66=IfcBuilding,9
#283=IfcCartesianPoint,9
#649=IfcCartesianPoint,9
#22913=IfcPropertySet,9
#22931=IfcPropertySet,9
#22979=IfcPropertySet,9
#28988=IfcRepresentationMap,9
#33653=IfcPropertySet,9
#34009=IfcPropertySet,9
#36297=IfcPropertySet,9
#36383=IfcPropertySet,9
#37176=IfcCartesianPoint,9
#39194=IfcPropertySet,9
#39260=IfcPropertySet,9
#40184=IfcCartesianPoint,9
#40186=IfcCartesianPoint,9
#40188=IfcCartesianPoint,9
#40190=IfcCartesianPoint,9
#40192=IfcCartesianPoint,9
#40194=IfcCartesianPoint,9
#40196=IfcCartesianPoint,9
#40198=IfcCartesianPoint,9
#43180=IfcGeometricSet,9
#43291=IfcPropertySet,9
#43867=IfcCartesianPoint,9
#43869=IfcCartesianPoint,9
#43871=IfcCartesianPoint,9
#43873=IfcCartesianPoint,9
#43875=IfcCartesianPoint,9
#43877=IfcCartesianPoint,9
#43879=IfcCartesianPoint,9
#43881=IfcCartesianPoint,9
#46863=IfcGeometricSet,9
#46919=IfcPropertySet,9
#48352=IfcRepresentationMap,9
#48353=IfcRepresentationMap,9
#48441=IfcPropertySet,9
#48775=IfcPropertySet,9
#48893=IfcPropertySet,9
#48948=IfcPropertySet,9
#48980=IfcPropertySet,9
#49024=IfcPropertySet,9
#50425=IfcPropertySet,9
#50487=IfcPropertySet,9
#1652=IfcCartesianPoint,8
#1656=IfcCartesianPoint,8
#2509=IfcCartesianPoint,8
#2541=IfcCartesianPoint,8
#2589=IfcCartesianPoint,8
#3794=IfcPropertySet,8
#3820=IfcPropertySet,8
#5055=IfcCartesianPoint,8
#5276=IfcCartesianPoint,8
#7284=IfcCartesianPoint,8
#7441=IfcCartesianPoint,8
#7660=IfcCartesianPoint,8
#8206=IfcCartesianPoint,8
#8342=IfcCartesianPoint,8
#8566=IfcCartesianPoint,8
#8589=IfcCartesianPoint,8
#8596=IfcCartesianPoint,8
#8605=IfcCartesianPoint,8
#9089=IfcCartesianPoint,8
#9098=IfcCartesianPoint,8
#9251=IfcCartesianPoint,8
#9346=IfcCartesianPoint,8
#9636=IfcCartesianPoint,8
#9643=IfcCartesianPoint,8
#9796=IfcCartesianPoint,8
#9893=IfcCartesianPoint,8
#9936=IfcCartesianPoint,8
#10180=IfcCartesianPoint,8
#10225=IfcCartesianPoint,8
#10239=IfcCartesianPoint,8
#10334=IfcCartesianPoint,8
#10422=IfcCartesianPoint,8
#10705=IfcCartesianPoint,8
#10774=IfcCartesianPoint,8
#11069=IfcCartesianPoint,8
#13400=IfcCartesianPoint,8
#13408=IfcCartesianPoint,8
#13624=IfcCartesianPoint,8
#13796=IfcCartesianPoint,8
#14050=IfcCartesianPoint,8
#14207=IfcCartesianPoint,8
#14426=IfcCartesianPoint,8
#14966=IfcCartesianPoint,8
#15073=IfcCartesianPoint,8
#15280=IfcCartesianPoint,8
#15299=IfcCartesianPoint,8
#15313=IfcCartesianPoint,8
#15785=IfcCartesianPoint,8
#15935=IfcCartesianPoint,8
#16030=IfcCartesianPoint,8
#16320=IfcCartesianPoint,8
#16327=IfcCartesianPoint,8
#16472=IfcCartesianPoint,8
#16565=IfcCartesianPoint,8
#16848=IfcCartesianPoint,8
#16901=IfcCartesianPoint,8
#17039=IfcCartesianPoint,8
#17076=IfcCartesianPoint,8
#17366=IfcCartesianPoint,8
#17435=IfcCartesianPoint,8
#17724=IfcCartesianPoint,8
#20311=IfcCartesianPoint,8
#20583=IfcCartesianPoint,8
#22518=IfcPropertySet,8
#22544=IfcPropertySet,8
#22583=IfcPropertySet,8
#22862=IfcPropertySingleValue,8
#23183=IfcCartesianPoint,8
#23241=IfcCartesianPoint,8
#23415=IfcCartesianPoint,8
#23518=IfcCartesianPoint,8
#25233=IfcCartesianPoint,8
#25276=IfcCartesianPoint,8
#25450=IfcCartesianPoint,8
#25557=IfcCartesianPoint,8
#27172=IfcCartesianPoint,8
#27230=IfcCartesianPoint,8
#27400=IfcCartesianPoint,8
#27503=IfcCartesianPoint,8
#29120=IfcPropertySet,8
#29130=IfcPropertySet,8
#29272=IfcCartesianPoint,8
#33085=IfcPropertySet,8
#33087=IfcPropertySet,8
#33627=IfcPropertySet,8
#33682=IfcPropertySet,8
#33735=IfcPropertySet,8
#33780=IfcPropertySet,8
#33821=IfcPropertySet,8
#33866=IfcPropertySet,8
#36122=IfcPropertySet,8
#36317=IfcPropertySet,8
#36319=IfcPropertySet,8
#36444=IfcPropertySet,8
#36485=IfcPropertySet,8
#36538=IfcPropertySet,8
#36571=IfcPropertySet,8
#36616=IfcPropertySet,8
#37627=IfcCartesianPoint,8
#37661=IfcCartesianPoint,8
#37677=IfcCartesianPoint,8
#38166=IfcCartesianPoint,8
#38367=IfcCartesianPoint,8
#38381=IfcCartesianPoint,8
#39212=IfcPropertySet,8
#39470=IfcPropertySet,8
#39582=IfcPropertySet,8
#39634=IfcPropertySet,8
#43319=IfcPropertySet,8
#47199=IfcCartesianPoint,8
#48909=IfcPropertySet,8
#49372=IfcCartesianPoint,8
#50441=IfcPropertySet,8
#50723=IfcPropertySet,8
#50771=IfcShapeRepresentation,8
#50879=IfcPropertySet,8
#50922=IfcPropertySet,8
#51029=IfcRelAssociatesMaterial,8
#51061=IfcRelDefinesByType,8
#51077=IfcRelDefinesByType,8
#51111=IfcRelDefinesByProperties,8
#51113=IfcRelDefinesByProperties,8
#51115=IfcRelDefinesByProperties,8
#51117=IfcRelDefinesByProperties,8
#51119=IfcRelDefinesByProperties,8
#51121=IfcRelDefinesByProperties,8
#51123=IfcRelDefinesByProperties,8
#51125=IfcRelDefinesByProperties,8
