label,degree
#33=IfcOwnerHistory,7592
#32579=IfcConnectedFaceSet,1411
#27341=IfcConnectedFaceSet,1404
#3=IfcCartesianPoint,861
#27=IfcGeometricRepresentationContext,578
#56224=IfcConnectedFaceSet,553
#155645=IfcPresentationLayerAssignment,497
#82846=IfcConnectedFaceSet,446
#115379=IfcConnectedFaceSet,443
#9=IfcDirection,423
#9725=IfcConnectedFaceSet,329
#10898=IfcConnectedFaceSet,329
#62859=IfcConnectedFaceSet,329
#64032=IfcConnectedFaceSet,329
#66481=IfcConnectedFaceSet,329
#67654=IfcConnectedFaceSet,329
#72713=IfcConnectedFaceSet,329
#73886=IfcConnectedFaceSet,329
#87059=IfcConnectedFaceSet,329
#88232=IfcConnectedFaceSet,329
#92685=IfcConnectedFaceSet,329
#93858=IfcConnectedFaceSet,329
#95271=IfcConnectedFaceSet,329
#96445=IfcConnectedFaceSet,329
#105243=IfcConnectedFaceSet,329
#106416=IfcConnectedFaceSet,329
#107877=IfcConnectedFaceSet,329
#109050=IfcConnectedFaceSet,329
#110487=IfcConnectedFaceSet,329
#111660=IfcConnectedFaceSet,329
#117738=IfcConnectedFaceSet,329
#118911=IfcConnectedFaceSet,329
#122745=IfcConnectedFaceSet,329
#123918=IfcConnectedFaceSet,329
#125807=IfcConnectedFaceSet,329
#126980=IfcConnectedFaceSet,329
#130646=IfcConnectedFaceSet,329
#131819=IfcConnectedFaceSet,329
#133906=IfcConnectedFaceSet,329
#135079=IfcConnectedFaceSet,329
#142186=IfcConnectedFaceSet,329
#143359=IfcConnectedFaceSet,329
#34569=IfcConnectedFaceSet,328
#35740=IfcConnectedFaceSet,328
#69714=IfcConnectedFaceSet,328
#70884=IfcConnectedFaceSet,328
#89923=IfcConnectedFaceSet,328
#91093=IfcConnectedFaceSet,328
#97902=IfcConnectedFaceSet,328
#99073=IfcConnectedFaceSet,328
#101664=IfcConnectedFaceSet,328
#102834=IfcConnectedFaceSet,328
#120144=IfcConnectedFaceSet,328
#121314=IfcConnectedFaceSet,328
#146325=IfcConnectedFaceSet,328
#147495=IfcConnectedFaceSet,328
#81250=IfcConnectedFaceSet,309
#78193=IfcConnectedFaceSet,277
#7941=IfcPropertySingleValue,246
#7942=IfcPropertySingleValue,246
#154926=IfcRelDefinesByType,242
#155000=IfcRelDefinesByProperties,242
#155001=IfcRelDefinesByProperties,242
#155002=IfcRelDefinesByProperties,242
#155003=IfcRelDefinesByProperties,242
#42=IfcLocalPlacement,227
#38=IfcLocalPlacement,221
#154881=IfcRelContainedInSpatialStructure,206
#154873=IfcRelContainedInSpatialStructure,205
#77188=IfcConnectedFaceSet,204
#7926=IfcPropertySingleValue,174
#4=IfcCartesianPoint,155
#154982=IfcRelDefinesByProperties,143
#154983=IfcRelDefinesByProperties,143
